zip,state,county,city
503,Georgia,Ware,
510,Georgia,Bacon,
21640,Maryland,Caroline,
605,Puerto Rico,Aguadilla,Aguadilla
545,Kansas,Stafford,
577,Vermont,Windsor,
623,Puerto Rico,Cabo Rojo,Cabo Rojo
602,Puerto Rico,Aguada,Aguada
607,Puerto Rico,Aguas Buenas,Aguas Buenas
609,Puerto Rico,Aibonito,Aibonito
646,Puerto Rico,Dorado,Dorado
629,Illinois,Saline,Carrier Mills
638,Puerto Rico,Ciales,Ciales
615,Puerto Rico,Arroyo,Arroyo
627,Puerto Rico,Camuy,Camuy
618,Puerto Rico,Barranquitas,Barranquitas
604,Puerto Rico,Aguadilla,
634,Puerto Rico,Cayey,Cayey
635,Puerto Rico,Ceiba,Ceiba
639,Puerto Rico,Cidra,Cidra
642,Puerto Rico,Comer°o,Comer°o
643,Connecticut,New Haven,
645,Puerto Rico,Culebra,Culebra
647,Puerto Rico,Gu†nica,Gu†nica
613,Puerto Rico,Arecibo,Arecibo
616,Puerto Rico,Arecibo,Arecibo
611,Puerto Rico,Arecibo,Arecibo
544,Vermont,Addison,Bristol
603,Puerto Rico,Aguadilla,Aguadilla
612,Puerto Rico,Arecibo,Animas
648,Connecticut,Fairfield,Shelton
617,Puerto Rico,Barceloneta,Barceloneta
82412,Wyoming,Big Horn,Byron
658,Puerto Rico,Gurabo,
72339,Arkansas,Crittenden,Gilmore
715,Puerto Rico,Ponce,Ponce
726,New Jersey,Monmouth,
710,Louisiana,Bossier,Plain Dealing
666,Puerto Rico,Juncos,Juncos
670,Puerto Rico,Las Mar°as,Las Mar°as
671,Puerto Rico,Las Piedras,Las Piedras
673,Puerto Rico,Luquillo,Luquillo
653,Puerto Rico,Gu†nica,Gu†nica
701,Puerto Rico,Manat°,Manat°
706,Louisiana,Allen,
676,Alabama,Greene,
709,Puerto Rico,MayagÅez,MayagÅez
712,Louisiana,West Carroll,
650,Puerto Rico,Florida,Florida
656,Puerto Rico,Guayanilla,Guayanilla
692,Tennessee,Unicoi,Unicoi
724,Puerto Rico,Pe§uelas,Pe§uelas
721,Puerto Rico,R°o Grande,
700,Louisiana,St. John the Baptist,Reserve
664,Puerto Rico,Jayuya,
659,Puerto Rico,Hatillo,Hatillo
652,Puerto Rico,Arecibo,
